Catégorie : Toutes catégories

Semaine,végétarien: (France)
2015-12-13,62
2015-12-20,67
2015-12-27,73
2016-01-03,60
2016-01-10,51
2016-01-17,43
2016-01-24,62
2016-01-31,57
2016-02-07,55
2016-02-14,56
2016-02-21,65
2016-02-28,62
2016-03-06,61
2016-03-13,53
2016-03-20,56
2016-03-27,63
2016-04-03,59
2016-04-10,72
2016-04-17,55
2016-04-24,61
2016-05-01,67
2016-05-08,56
2016-05-15,50
2016-05-22,57
2016-05-29,52
2016-06-05,47
2016-06-12,51
2016-06-19,42
2016-06-26,54
2016-07-03,48
2016-07-10,41
2016-07-17,52
2016-07-24,48
2016-07-31,49
2016-08-07,63
2016-08-14,57
2016-08-21,59
2016-08-28,44
2016-09-04,55
2016-09-11,40
2016-09-18,53
2016-09-25,57
2016-10-02,61
2016-10-09,55
2016-10-16,62
2016-10-23,59
2016-10-30,68
2016-11-06,62
2016-11-13,55
2016-11-20,64
2016-11-27,54
2016-12-04,68
2016-12-11,65
2016-12-18,72
2016-12-25,64
2017-01-01,48
2017-01-08,54
2017-01-15,62
2017-01-22,65
2017-01-29,53
2017-02-05,62
2017-02-12,70
2017-02-19,70
2017-02-26,63
2017-03-05,59
2017-03-12,59
2017-03-19,64
2017-03-26,52
2017-04-02,59
2017-04-09,63
2017-04-16,50
2017-04-23,56
2017-04-30,50
2017-05-07,52
2017-05-14,52
2017-05-21,46
2017-05-28,51
2017-06-04,52
2017-06-11,43
2017-06-18,42
2017-06-25,50
2017-07-02,50
2017-07-09,57
2017-07-16,58
2017-07-23,50
2017-07-30,65
2017-08-06,63
2017-08-13,61
2017-08-20,53
2017-08-27,54
2017-09-03,53
2017-09-10,56
2017-09-17,45
2017-09-24,59
2017-10-01,55
2017-10-08,55
2017-10-15,51
2017-10-22,70
2017-10-29,60
2017-11-05,57
2017-11-12,53
2017-11-19,54
2017-11-26,67
2017-12-03,51
2017-12-10,57
2017-12-17,74
2017-12-24,59
2017-12-31,69
2018-01-07,53
2018-01-14,50
2018-01-21,57
2018-01-28,56
2018-02-04,48
2018-02-11,59
2018-02-18,56
2018-02-25,42
2018-03-04,63
2018-03-11,53
2018-03-18,60
2018-03-25,61
2018-04-01,53
2018-04-08,62
2018-04-15,46
2018-04-22,47
2018-04-29,53
2018-05-06,45
2018-05-13,46
2018-05-20,53
2018-05-27,47
2018-06-03,45
2018-06-10,46
2018-06-17,38
2018-06-24,42
2018-07-01,42
2018-07-08,46
2018-07-15,41
2018-07-22,40
2018-07-29,43
2018-08-05,50
2018-08-12,53
2018-08-19,49
2018-08-26,50
2018-09-02,49
2018-09-09,55
2018-09-16,58
2018-09-23,66
2018-09-30,59
2018-10-07,59
2018-10-14,64
2018-10-21,52
2018-10-28,63
2018-11-04,61
2018-11-11,55
2018-11-18,54
2018-11-25,57
2018-12-02,54
2018-12-09,67
2018-12-16,74
2018-12-23,83
2018-12-30,64
2019-01-06,51
2019-01-13,69
2019-01-20,60
2019-01-27,64
2019-02-03,72
2019-02-10,66
2019-02-17,56
2019-02-24,69
2019-03-03,74
2019-03-10,72
2019-03-17,55
2019-03-24,64
2019-03-31,62
2019-04-07,63
2019-04-14,57
2019-04-21,60
2019-04-28,77
2019-05-05,61
2019-05-12,63
2019-05-19,63
2019-05-26,68
2019-06-02,60
2019-06-09,59
2019-06-16,52
2019-06-23,45
2019-06-30,49
2019-07-07,43
2019-07-14,45
2019-07-21,62
2019-07-28,55
2019-08-04,61
2019-08-11,69
2019-08-18,75
2019-08-25,72
2019-09-01,68
2019-09-08,68
2019-09-15,58
2019-09-22,55
2019-09-29,69
2019-10-06,66
2019-10-13,69
2019-10-20,68
2019-10-27,88
2019-11-03,100
2019-11-10,89
2019-11-17,77
2019-11-24,75
2019-12-01,72
2019-12-08,74
2019-12-15,83
2019-12-22,90
2019-12-29,98
2020-01-05,76
2020-01-12,83
2020-01-19,73
2020-01-26,82
2020-02-02,79
2020-02-09,74
2020-02-16,72
2020-02-23,85
2020-03-01,69
2020-03-08,66
2020-03-15,46
2020-03-22,66
2020-03-29,61
2020-04-05,82
2020-04-12,80
2020-04-19,77
2020-04-26,77
2020-05-03,75
2020-05-10,84
2020-05-17,72
2020-05-24,78
2020-05-31,69
2020-06-07,75
2020-06-14,72
2020-06-21,69
2020-06-28,69
2020-07-05,66
2020-07-12,78
2020-07-19,62
2020-07-26,63
2020-08-02,78
2020-08-09,70
2020-08-16,88
2020-08-23,70
2020-08-30,68
2020-09-06,72
2020-09-13,64
2020-09-20,68
2020-09-27,73
2020-10-04,63
2020-10-11,69
2020-10-18,72
2020-10-25,59
2020-11-01,59
2020-11-08,73
2020-11-15,63
2020-11-22,60
2020-11-29,65
2020-12-06,64
