Catégorie : Toutes catégories

Zone de diffusion,vegan: (11/12/2019 – 11/12/2020)
Paris,100
Val-de-Marne,92
Bas-Rhin,91
Alpes-Maritimes,89
Haute-Garonne,87
Haute-Savoie,86
Haut-Rhin,83
Hauts-de-Seine,82
Gironde,79
Rhône,79
Savoie,78
Yvelines,75
Ille-et-Vilaine,75
Ariège,74
Bouches-du-Rhône,73
Vienne,72
Loire-Atlantique,70
Vaucluse,70
Essonne,69
Calvados,69
Hérault,68
Dordogne,68
Seine-Saint-Denis,68
Pyrénées-Orientales,67
Pyrénées-Atlantiques,67
Alpes-de-Haute-Provence,66
Isère,65
Haute-Vienne,65
Seine-et-Marne,65
Indre-et-Loire,64
Côte-d'Or,64
Ain,64
Finistère,63
Ardèche,63
Charente-Maritime,63
Moselle,62
Doubs,62
Nord,62
Meurthe-et-Moselle,62
Corse-du-Sud,61
Charente,61
Var,60
Aude,60
Morbihan,60
Hautes-Alpes,59
Val-d'Oise,59
Hautes-Pyrénées,58
Drôme,58
Haute-Corse,57
Jura,57
Landes,56
Côtes-d'Armor,56
Tarn,56
Maine-et-Loire,55
Gard,55
Manche,55
Lot-et-Garonne,55
Oise,54
Territoire de Belfort,54
Cher,53
Lot,53
Loiret,52
Nièvre,52
Puy-de-Dôme,52
Aube,51
Eure-et-Loir,51
Seine-Maritime,50
Cantal,50
Loir-et-Cher,50
Saône-et-Loire,50
Gers,50
Eure,50
Vosges,49
Tarn-et-Garonne,48
Yonne,48
Somme,48
Allier,47
Marne,47
Deux-Sèvres,47
Loire,47
Corrèze,46
Meuse,45
Creuse,45
Aveyron,44
Haute-Saône,44
Vendée,43
Haute-Loire,43
Lozère,43
Orne,43
Mayenne,42
Pas-de-Calais,42
Sarthe,41
Haute-Marne,39
Indre,39
Aisne,38
Ardennes,37
