Catégorie : Toutes catégories

Ville,vegan: (10/12/2015 – 10/12/2020)
Saint-Marc-Jaumegarde,100
Strasbourg,98
Annecy,90
Nice,88
Montreuil,88
Aix-en-Provence,83
Neuilly-sur-Seine,80
Issy-les-Moulineaux,79
Versailles,79
Bordeaux,77
Montpellier,76
Cannes,74
Saint-Maur-des-Fossés,74
Nantes,74
Rennes,74
Villeurbanne,73
Paris,73
Toulouse,72
Lyon,72
Boulogne-Billancourt,71
Lille,71
Grenoble,71
Noisy-le-Grand,69
Metz,69
Saint-Ouen,68
Ivry-sur-Seine,68
Tours,67
Antibes,67
Avignon,65
La Rochelle,65
Mérignac,65
Nancy,64
Asnières-sur-Seine,64
Poitiers,64
Clichy,64
Brest,63
Villeneuve-d'Ascq,61
Angers,61
Reims,60
Caen,60
Vitry-sur-Seine,59
Toulon,59
Marseille,58
Bayonne,57
Le Hohwald,57
Pélussin,57
Orléans,57
Mulhouse,56
Besançon,56
Pau,55
Rouen,55
Courbevoie,52
Colombes,52
Dijon,51
Nanterre,51
Amiens,51
Perpignan,49
Nîmes,49
Le Mans,48
Limoges,47
Clermont-Ferrand,47
Saint-Denis,45
Le Havre,43
La Teste-de-Buch,42
Saint-Étienne,42
